player_id,player_name,season,age,box_plus_minus,height,weight,nba_draft_pick,win_shares,minutes_played,player_efficiency_rating,vorp,out_of_league,win_shares_per_minute,composite_score
cartevi01,Vince Carter,2020,43.15366554607479,0.15000000000000002,78.0,220.0,5.0,0.027083333333333334,876.0,0.13645833333333335,0.04791666666666666,0,0.003309692671394799,0.05
chandty01,Tyson Chandler,2020,37.47250850646831,0.4510416666666667,84.0,240.0,2.0,0.321875,219.0,0.328125,0.3614583333333333,0,,0.3572916666666667
anthoca01,Carmelo Anthony,2020,35.81607476729299,0.19166666666666665,80.0,240.0,3.0,0.41145833333333337,1623.0,0.44895833333333335,0.026041666666666664,0,,0.26458333333333334
korveky01,Kyle Korver,2020,39.01668805834182,0.6645833333333333,79.0,212.0,51.0,0.60625,833.0,0.365625,0.6458333333333333,0,,0.58125
jamesle01,LeBron James,2020,35.22742476154513,0.99375,81.0,250.0,1.0,0.9895833333333334,2094.0,0.9781249999999999,0.9958333333333336,0,,0.99375
hasleud01,Udonis Haslem,2020,39.78603992795249,0.020833333333333405,80.0,235.0,61.0,0.115625,21.0,0.04583333333333333,0.22291666666666665,0,,0.06458333333333333
iguodan01,Andre Iguodala,2020,36.15009942265181,0.5364583333333333,78.0,215.0,9.0,0.28125,259.0,0.340625,0.46562499999999996,0,,0.40208333333333335
howardw01,Dwight Howard,2020,34.28832265813517,0.70625,82.0,265.0,1.0,0.9010416666666667,1193.0,0.846875,0.7375,0,,0.8291666666666666
arizatr01,Trevor Ariza,2020,34.72912568553072,0.5770833333333334,80.0,215.0,43.0,0.6510416666666667,1493.0,0.340625,0.6812499999999999,0,,0.56875
paulch01,Chris Paul,2020,34.879710572060034,0.9593750000000001,73.0,175.0,4.0,0.9802083333333333,2003.0,0.934375,0.9791666666666666,0,,0.98125
willilo02,Lou Williams,2020,33.40397869433188,0.7427083333333333,73.0,175.0,45.0,0.815625,1757.0,0.78125,0.8166666666666667,0,,0.8208333333333333
willima02,Marvin Williams,2020,33.75990660494033,0.5364583333333333,80.0,237.0,2.0,0.5874999999999999,1011.0,0.37916666666666665,0.5854166666666667,0,,0.5177083333333333
ilyaser01,Ersan İlyasova,2020,32.85639729260583,0.725,81.0,235.0,36.0,0.759375,895.0,0.66875,0.6812499999999999,0,,0.7270833333333333
bareajo01,J.J. Barea,2020,35.739413370911585,0.50625,70.0,185.0,61.0,0.34479166666666666,391.0,0.6447916666666667,0.46562499999999996,0,,0.4791666666666665
redicjj01,J.J. Redick,2020,35.74488918525075,0.6864583333333334,75.0,200.0,11.0,0.7958333333333333,1425.0,0.6625,0.7625,0,,0.75625
lowryky01,Kyle Lowry,2020,33.995366608330905,0.9302083333333333,72.0,196.0,24.0,0.9625,1901.0,0.8197916666666667,0.9552083333333332,0,,0.9375
aldrila01,LaMarcus Aldridge,2020,34.67710545329669,0.7895833333333333,83.0,260.0,2.0,0.8645833333333333,1754.0,0.8822916666666667,0.875,0,,0.8833333333333333
millspa01,Paul Millsap,2020,35.112432667347086,0.725,79.0,250.0,47.0,0.759375,1075.0,0.8020833333333333,0.7124999999999999,0,,0.7770833333333335
tuckepj01,P.J. Tucker,2020,34.882448477820546,0.41874999999999996,77.0,245.0,35.0,0.815625,2203.0,0.18854166666666666,0.534375,0,,0.475
rondora01,Rajon Rondo,2020,34.080241725637094,0.4760416666666667,73.0,186.0,21.0,0.49479166666666663,984.0,0.46875,0.534375,0,,0.48333333333333334
gayru01,Rudy Gay,2020,33.59837009253099,0.4354166666666667,80.0,230.0,8.0,0.49479166666666663,1287.0,0.5979166666666667,0.534375,0,,0.5041666666666667
sefolth01,Thabo Sefolosha,2020,35.889998256416874,0.4927083333333333,78.0,220.0,13.0,0.34479166666666666,436.0,0.23958333333333331,0.46562499999999996,0,,0.3729166666666667
horfoal01,Al Horford,2020,33.80371311811153,0.875,81.0,245.0,3.0,0.9010416666666667,1848.0,0.6875,0.9291666666666667,0,,0.8770833333333333
mahinia01,Ian Mahinmi,2020,33.37933753136827,0.2885416666666667,83.0,262.0,28.0,0.475,808.0,0.5739583333333333,0.125,0,,0.3572916666666667
dudleja01,Jared Dudley,2020,34.70174661622748,0.5364583333333333,78.0,237.0,22.0,0.34479166666666666,311.0,0.121875,0.46562499999999996,0,,0.36041666666666666
greenje02,Jeff Green,2020,33.568253114515116,0.5770833333333334,80.0,235.0,5.0,0.475,754.0,0.5020833333333333,0.5854166666666667,0,,0.5354166666666667
belinma01,Marco Belinelli,2020,33.995366608564446,0.2677083333333333,77.0,210.0,18.0,0.321875,779.0,0.2791666666666667,0.125,0,,0.23541666666666658
conlemi01,Mike Conley,2020,32.44844914980953,0.6385416666666667,73.0,175.0,4.0,0.5874999999999999,1171.0,0.546875,0.6812499999999999,0,,0.63125
youngth01,Thaddeus Young,2020,31.75302077048718,0.4927083333333333,80.0,220.0,12.0,0.5635416666666666,1591.0,0.5208333333333334,0.6166666666666667,0,,0.5479166666666666
chandwi01,Wilson Chandler,2020,32.87008682902642,0.2677083333333333,80.0,235.0,23.0,0.3729166666666667,734.0,0.121875,0.125,0,,0.2
lopezbr01,Brook Lopez,2020,31.974791236331093,0.8427083333333334,84.0,270.0,10.0,0.88125,1622.0,0.5677083333333333,0.875,0,,0.825
leeco01,Courtney Lee,2020,34.46902451967288,0.5770833333333334,77.0,215.0,22.0,0.34479166666666666,345.0,0.33541666666666664,0.46562499999999996,0,,0.42083333333333334
