season,assist_percentage,assists,block_percentage,blocks,box_plus_minus,conference,defensive_box_plus_minus,defensive_rebound_percentage,defensive_rebounds,defensive_win_shares,effective_field_goal_percentage,field_goal_attempts,field_goal_percentage,field_goals,free_throw_attempt_rate,free_throw_attempts,free_throw_percentage,free_throws,games_played,games_started,height,minutes_played,offensive_box_plus_minus,offensive_rebound_percentage,offensive_rebounds,offensive_win_shares,personal_fouls,player_efficiency_rating,player_id,points,points_produced,position,steal_percentage,steals,team_abbreviation,three_point_attempt_rate,three_point_attempts,three_point_percentage,three_pointers,total_rebound_percentage,total_rebounds,true_shooting_percentage,turnover_percentage,turnovers,two_point_attempts,two_point_percentage,two_pointers,usage_percentage,weight,win_shares,win_shares_per_40_minutes,player_season_number,player_name
2017-18,4.4,19,9.3,79,3.5,wac,3.1,21.6,184,1.7,0.609,248,0.609,151,0.516,128,0.648,83,34,33,7-3,915,0.5,14.8,118,2.8,106,24.9,aaron-menzies-1,385,382.0,Center,0.6,9,saint-marys-ca,0.0,0,,0,18.3,302,0.623,11.7,41,248,0.609,151,18.8,265,4.5,0.197,3,Aaron Menzies
2019-20,11.6,6,4.8,5,0.3,wcc,1.4,30.4,27,0.2,0.558,43,0.558,24,0.349,15,0.4,6,22,2,7-3,115,-1.2,12.9,11,0.3,18,22.9,aaron-menzies-1,54,55.0,Center,0.0,0,saint-marys-ca,0.0,0,,0,21.8,38,0.539,13.8,8,43,0.558,24,27.9,265,0.4,0.155,4,Aaron Menzies
2019-20,4.2,14,0.6,4,3.6,aac,-1.3,4.9,31,0.6,0.594,234,0.449,105,0.128,30,0.833,25,30,14,6-4,717,4.8,4.4,27,1.8,41,16.6,darin-greenjr-1,303,252.0,Guard,1.4,17,central-florida,0.697,163,0.417,68,4.6,58,0.61,9.5,26,71,0.521,37,19.5,180,2.4,0.134,1,Darin Green Jr.
2018-19,0.0,0,3.0,2,-15.9,mwc,-3.6,15.1,11,0.1,0.179,28,0.179,5,0.393,11,0.636,7,15,0,6-10,81,-12.3,5.7,4,-0.2,12,0.7,joel-mensah-1,17,17.0,Forward,0.7,1,san-diego-state,0.0,0,,0,10.5,15,0.256,0.0,0,28,0.179,5,20.8,210,0.0,-0.015,1,Joel Mensah
2019-20,1.4,1,11.4,12,4.6,mwc,8.3,16.1,19,0.4,0.613,31,0.613,19,0.097,3,0.333,1,21,0,6-10,136,-3.7,1.8,2,0.1,24,14.0,joel-mensah-1,39,30.0,Forward,1.8,4,san-diego-state,0.0,0,,0,9.3,21,0.601,17.8,7,31,0.613,19,15.4,210,0.5,0.133,2,Joel Mensah
2018-19,20.9,4,0.0,0,-15.3,america-east,-4.2,18.8,5,0.0,0.143,7,0.143,1,0.857,6,0.667,4,11,0,6-9,32,-11.1,0.0,0,-0.1,5,-0.8,hunter-marks-1,6,8.0,Forward,0.0,0,hartford,0.286,2,0.0,0,9.5,5,0.305,23.3,3,5,0.2,1,21.1,190,-0.1,-0.065,1,Hunter Marks
2019-20,9.3,52,1.7,18,0.2,america-east,0.8,14.9,160,1.8,0.51,263,0.422,111,0.464,122,0.73,89,33,33,6-9,1151,-0.6,4.0,40,1.6,59,14.5,hunter-marks-1,357,347.0,Forward,1.6,32,hartford,0.525,138,0.333,46,9.7,200,0.556,14.4,54,125,0.52,65,16.8,190,3.5,0.121,2,Hunter Marks
2018-19,18.1,21,4.1,7,5.6,aac,5.0,12.5,23,0.5,0.5,49,0.469,23,0.408,20,0.7,14,32,0,6-2,225,0.6,7.8,15,0.2,24,15.6,logan-johnson-2,63,70.0,Guard,3.0,11,saint-marys-ca,0.245,12,0.25,3,10.1,38,0.538,24.5,19,37,0.541,20,17.7,175,0.7,0.123,1,Logan Johnson
2019-20,11.4,11,0.0,0,0.9,wcc,2.2,11.2,14,0.2,0.338,34,0.294,10,0.471,16,0.75,12,24,4,6-2,162,-1.4,4.2,5,0.0,23,8.8,logan-johnson-2,35,41.0,Guard,3.8,10,saint-marys-ca,0.412,14,0.214,3,7.7,19,0.421,17.8,9,20,0.35,7,17.2,175,0.3,0.062,2,Logan Johnson
2016-17,6.7,6,0.7,1,-0.2,big-ten,2.1,6.1,9,0.2,0.35,20,0.3,6,0.2,4,1.0,4,25,0,6-7,149,-2.4,2.9,4,0.0,12,3.2,michael-hurt-1,18,21.0,Forward,0.8,2,minnesota,0.7,14,0.143,2,4.6,13,0.411,21.5,6,6,0.667,4,9.3,220,0.1,0.035,1,Michael Hurt
2017-18,8.2,30,2.3,14,0.2,big-ten,1.8,12.5,71,0.5,0.5,79,0.443,35,0.456,36,0.667,24,32,14,6-7,608,-1.6,1.7,10,0.3,30,8.3,michael-hurt-1,103,105.0,Forward,0.8,9,minnesota,0.266,21,0.429,9,7.1,81,0.536,19.3,23,58,0.448,26,9.6,220,0.7,0.049,2,Michael Hurt
2018-19,6.0,7,1.0,2,1.0,big-ten,1.0,10.0,19,0.2,0.473,37,0.459,17,0.459,17,0.706,12,28,0,6-7,217,0.0,7.2,14,0.2,22,8.9,michael-hurt-1,47,49.0,Forward,0.5,2,minnesota,0.351,13,0.077,1,8.6,33,0.521,16.6,9,24,0.667,16,12.6,220,0.4,0.07,3,Michael Hurt
2019-20,12.0,17,1.6,4,0.5,big-ten,2.4,11.6,27,0.3,0.5,33,0.424,14,0.182,6,0.333,2,25,1,6-7,245,-2.0,3.5,8,0.0,11,6.4,michael-hurt-1,35,41.0,Forward,0.0,0,minnesota,0.424,14,0.357,5,7.6,35,0.488,28.1,14,19,0.474,9,10.3,220,0.3,0.043,4,Michael Hurt
2018-19,3.4,5,2.9,8,-1.5,summit,-4.8,19.7,55,0.1,0.647,112,0.589,66,0.625,70,0.829,58,25,4,6-9,338,3.3,8.0,23,1.6,25,29.1,david-nzekwesi-1,203,177.0,Forward,0.9,5,denver,0.205,23,0.565,13,13.7,78,0.699,11.0,18,89,0.596,53,24.8,240,1.7,0.203,1,David Nzekwesi
2019-20,3.7,8,2.5,9,-6.4,summit,-2.3,16.2,63,0.3,0.448,135,0.43,58,0.378,51,0.627,32,27,8,6-9,448,-4.1,6.6,25,0.3,45,12.5,david-nzekwesi-1,153,150.0,Forward,1.0,8,denver,0.17,23,0.217,5,11.4,88,0.48,11.2,20,112,0.473,53,20.3,240,0.6,0.053,2,David Nzekwesi
2019-20,11.0,35,0.8,4,0.2,mac,0.9,7.6,49,1.4,0.456,260,0.396,103,0.327,85,0.753,64,32,29,6-5,745,-0.8,3.5,23,0.6,49,16.1,yeikson-montero-1,301,284.0,Guard,4.4,56,eastern-michigan,0.427,111,0.279,31,5.5,72,0.501,15.5,55,149,0.483,72,24.4,195,2.0,0.109,1,Yeikson Montero
2019-20,8.0,22,0.2,1,0.9,acc,-2.3,6.3,32,0.5,0.571,196,0.408,80,0.179,35,0.886,31,32,3,5-10,589,3.2,0.8,4,1.0,47,13.9,jalen-cone-1,255,211.0,Guard,0.6,6,virginia-tech,0.714,140,0.457,64,3.5,36,0.6,12.4,30,56,0.286,16,22.5,170,1.5,0.1,1,Jalen Cone
2019-20,5.9,3,1.9,2,-7.8,wcc,-0.3,9.3,8,0.1,0.435,23,0.435,10,0.478,11,0.727,8,22,0,6-4,104,-7.5,2.2,2,-0.1,15,4.3,sabry-phillip-1,28,26.0,Guard,1.1,2,san-diego,0.13,3,0.0,0,5.7,10,0.496,28.0,11,20,0.5,10,18.9,190,0.0,-0.008,1,Sabry Phillip
2018-19,14.3,5,0.0,0,0.4,cusa,-2.1,8.4,5,0.1,0.45,20,0.35,7,0.05,1,0.0,0,8,0,6-10,67,2.5,15.2,9,0.2,10,13.3,mark-tikhonenko-1,18,22.0,Forward,0.0,0,sam-houston-state,0.75,15,0.267,4,11.8,14,0.44,0.0,0,5,0.6,3,15.5,240,0.3,0.16,1,Mark Tikhonenko
2019-20,7.6,15,0.7,2,-2.7,southland,-2.3,15.8,45,0.5,0.608,88,0.455,40,0.102,9,0.556,5,31,0,6-10,344,-0.5,6.1,18,0.5,52,12.0,mark-tikhonenko-1,112,104.0,Forward,1.1,7,sam-houston-state,0.625,55,0.491,27,10.8,63,0.607,17.1,19,33,0.394,13,15.4,240,1.0,0.116,2,Mark Tikhonenko
