season,assist_percentage,assists,block_percentage,blocks,box_plus_minus,conference,defensive_box_plus_minus,defensive_rebound_percentage,defensive_rebounds,defensive_win_shares,effective_field_goal_percentage,field_goal_attempts,field_goal_percentage,field_goals,free_throw_attempt_rate,free_throw_attempts,free_throw_percentage,free_throws,games_played,games_started,height,minutes_played,offensive_box_plus_minus,offensive_rebound_percentage,offensive_rebounds,offensive_win_shares,personal_fouls,player_efficiency_rating,player_id,points,points_produced,position,steal_percentage,steals,team_abbreviation,three_point_attempt_rate,three_point_attempts,three_point_percentage,three_pointers,total_rebound_percentage,total_rebounds,true_shooting_percentage,turnover_percentage,turnovers,two_point_attempts,two_point_percentage,two_pointers,usage_percentage,weight,win_shares,win_shares_per_40_minutes,player_season_number,player_name
2018-19,14.2,60,2.1,17,0.9,pac-12,3.6,11.9,83,1.1,0.452,155,0.426,66,0.465,72,0.556,40,30,23,6-6,753,-2.7,3.5,23,-0.2,56,9.2,bryce-wills-1,180,198,Guard,2.1,29,stanford,0.194,30,0.267,8,7.9,106,0.476,25.6,65,125,0.464,58,16.4,195,0.9,0.047,1,Bryce Wills
2019-20,12.8,61,2.8,22,3.4,pac-12,5.0,14.1,113,2.0,0.478,208,0.466,97,0.341,71,0.606,43,31,31,6-6,911,-1.6,1.4,10,0.3,63,11.3,bryce-wills-1,242,247,Guard,1.9,29,stanford,0.163,34,0.147,5,8.2,123,0.501,19.1,57,174,0.529,92,17.3,195,2.3,0.1,2,Bryce Wills
2019-20,9.5,24,1.2,5,0.4,sun-belt,0.3,13.4,57,0.9,0.458,178,0.393,70,0.202,36,0.861,31,29,5,6-3,497,0.1,3.6,15,0.6,48,14.4,caleb-asberry-1,194,179,Guard,2.3,19,texas-state,0.522,93,0.247,23,8.5,72,0.497,12.2,27,85,0.553,47,23.1,170,1.5,0.117,1,Caleb Asberry
2019-20,0.0,0,0.0,0,-35.4,cusa,-0.8,22.4,1,0.0,,0,,0,,0,,0,8,0,6-5,5,-34.5,0.0,0,-0.1,0,-34.0,patrick-murphy-1,0,0,Guard,0.0,0,western-kentucky,,0,,0,11.7,1,,100.0,3,0,,0,30.7,180,-0.1,-0.565,1,Patrick Murphy
2017-18,23.5,136,0.1,1,-4.3,northeast,-3.4,7.8,73,0.7,0.492,307,0.436,134,0.329,101,0.683,69,31,27,6-0,1049,-0.9,1.1,10,1.4,47,13.9,jahlil-jenkins-1,371,392,Guard,2.0,38,fairleigh-dickinson,0.355,109,0.312,34,4.4,83,0.523,16.9,72,198,0.505,100,19.7,160,2.1,0.08,1,Jahlil Jenkins
2018-19,23.2,157,0.3,3,-2.3,northeast,-2.8,9.0,100,1.3,0.485,376,0.428,161,0.335,126,0.881,111,35,34,6-0,1291,0.6,0.7,7,2.7,52,16.7,jahlil-jenkins-1,476,502,Guard,2.6,57,fairleigh-dickinson,0.348,131,0.328,43,5.0,107,0.546,14.7,75,245,0.482,118,20.4,160,4.0,0.124,2,Jahlil Jenkins
2019-20,20.7,108,0.0,0,-1.3,northeast,-3.5,8.3,75,0.5,0.506,341,0.428,146,0.367,125,0.824,103,28,28,6-0,1028,2.2,0.9,8,2.5,42,19.3,jahlil-jenkins-1,448,448,Guard,2.9,51,fairleigh-dickinson,0.39,133,0.398,53,4.7,83,0.559,14.3,67,208,0.447,93,23.2,160,3.1,0.12,3,Jahlil Jenkins
2016-17,8.3,14,5.3,13,-2.3,ivy,2.2,9.6,24,0.6,0.399,74,0.338,25,0.149,11,0.727,8,29,0,6-10,302,-4.5,3.6,9,-0.1,39,6.5,will-gladson-1,67,70,Forward,0.8,4,princeton,0.527,39,0.231,9,6.6,33,0.423,15.9,15,35,0.457,16,17.0,240,0.4,0.057,1,Will Gladson
2017-18,14.4,11,2.2,3,-2.3,ivy,-0.7,11.9,15,0.2,0.51,48,0.458,22,0.125,6,0.833,5,15,9,6-10,157,-1.7,3.9,5,0.2,20,14.2,will-gladson-1,54,54,Forward,1.9,5,princeton,0.271,13,0.385,5,7.9,20,0.531,13.6,8,35,0.486,17,20.4,240,0.4,0.095,2,Will Gladson
2018-19,21.4,5,4.2,2,6.1,ivy,2.0,20.0,9,0.1,0.667,15,0.533,8,0.533,8,0.375,3,7,0,6-10,52,4.1,8.4,4,0.2,8,23.8,will-gladson-1,23,24,Forward,1.1,1,princeton,0.4,6,0.667,4,14.1,13,0.612,9.6,2,9,0.444,4,20.1,240,0.3,0.214,3,Will Gladson
2015-16,8.6,37,0.9,6,-1.8,southern,0.0,13.1,98,1.0,0.473,201,0.428,86,0.264,53,0.623,33,34,11,6-4,823,-1.8,6.3,44,0.6,76,11.0,ethan-stair-1,223,219,Guard,1.6,22,mercer,0.318,64,0.281,18,9.8,142,0.493,16.3,44,137,0.496,68,16.8,205,1.6,0.077,1,Ethan Stair
2017-18,13.8,25,0.4,1,-1.4,southern,-0.7,13.2,38,0.4,0.538,91,0.473,43,0.308,28,0.714,20,20,5,6-4,353,-0.6,4.1,11,0.3,36,13.0,ethan-stair-1,118,117,Guard,2.6,15,mercer,0.352,32,0.375,12,8.8,49,0.566,22.3,30,59,0.525,31,20.2,205,0.7,0.084,2,Ethan Stair
2018-19,8.0,41,0.7,5,4.3,southern,0.9,13.7,121,1.2,0.586,257,0.486,125,0.304,78,0.795,62,31,31,6-4,1007,3.4,4.8,41,2.6,61,18.6,ethan-stair-1,363,338,Guard,2.8,48,mercer,0.479,123,0.415,51,9.3,162,0.617,9.8,32,134,0.552,74,16.4,205,3.8,0.15,3,Ethan Stair
2019-20,12.2,69,0.7,7,3.5,southern,0.5,23.5,233,1.7,0.562,361,0.479,173,0.197,71,0.859,61,32,32,6-4,1114,3.0,6.8,63,3.1,77,21.0,ethan-stair-1,467,445,Guard,2.0,39,mercer,0.471,170,0.353,60,15.4,296,0.592,12.8,58,191,0.592,113,20.2,205,4.8,0.172,4,Ethan Stair
2017-18,0.0,0,6.7,1,-8.1,sun-belt,-2.8,31.1,4,0.0,,0,,0,,2,1.0,2,6,0,6-8,16,-5.4,6.9,1,0.0,9,3.4,shaquillo-fritz-1,2,2,Forward,0.0,0,pacific,,0,,0,18.3,5,1.053,51.3,1,0,,0,6.0,210,0.0,0.083,1,Shaquillo Fritz
2018-19,4.4,7,9.1,24,-2.0,sun-belt,2.9,15.8,40,0.3,0.442,43,0.442,19,0.372,16,0.563,9,25,13,6-8,292,-4.9,9.6,26,0.1,43,10.3,shaquillo-fritz-1,47,56,Forward,0.8,4,pacific,0.0,0,,0,12.6,66,0.464,22.9,15,43,0.442,19,10.9,210,0.3,0.046,2,Shaquillo Fritz
2019-20,3.3,6,9.4,26,4.7,wcc,5.3,23.6,62,0.7,0.696,46,0.696,32,0.696,32,0.563,18,30,0,6-8,343,-0.6,13.2,36,0.5,48,17.6,shaquillo-fritz-1,82,87,Forward,0.9,5,pacific,0.0,0,,0,18.3,98,0.67,26.4,22,46,0.696,32,12.7,210,1.3,0.148,3,Shaquillo Fritz
2019-20,6.2,4,2.8,3,-5.2,horizon,-1.6,10.8,11,0.1,0.422,32,0.313,10,0.344,11,0.727,8,16,1,6-7,120,-3.6,3.5,4,0.1,8,9.4,shae-mitchell-1,35,34,Guard,0.9,2,milwaukee,0.625,20,0.35,7,7.0,15,0.47,13.9,6,12,0.25,3,17.6,205,0.2,0.059,1,Shae Mitchell
2016-17,22.4,4,0.0,0,10.5,big-east,0.3,13.8,4,0.0,0.667,12,0.5,6,0.0,0,,0,11,0,6-2,31,10.3,0.0,0,0.1,3,24.9,jordan-scurry-1,16,15,Guard,1.8,1,creighton,0.833,10,0.4,4,7.3,4,0.667,0.0,0,2,1.0,2,19.0,200,0.2,0.245,1,Jordan Scurry
2017-18,8.5,3,0.0,0,-2.1,big-east,-0.7,18.5,10,0.1,0.455,22,0.364,8,0.0,0,,0,17,0,6-2,57,-1.4,6.3,3,0.0,4,9.4,jordan-scurry-1,20,20,Guard,1.0,1,creighton,0.727,16,0.25,4,12.8,13,0.455,15.4,4,6,0.667,4,22.7,200,0.1,0.04,2,Jordan Scurry
2018-19,5.1,1,0.0,0,-5.4,big-east,-3.2,6.8,2,0.0,0.423,13,0.308,4,0.154,2,0.5,1,15,0,6-2,34,-2.2,0.0,0,0.0,2,5.3,jordan-scurry-1,12,10,Guard,1.7,1,creighton,0.923,12,0.25,3,3.5,2,0.43,12.5,2,1,1.0,1,23.9,200,0.0,-0.007,3,Jordan Scurry
2019-20,3.8,1,0.0,0,1.9,big-east,2.5,4.8,2,0.1,0.417,12,0.333,4,0.0,0,,0,15,0,6-2,44,-0.6,5.4,2,0.0,6,6.6,jordan-scurry-1,10,10,Guard,5.2,4,creighton,0.75,9,0.222,2,5.1,4,0.417,20.0,3,3,0.667,2,17.5,200,0.0,0.026,4,Jordan Scurry
2016-17,4.4,2,0.0,0,-6.4,pac-12,-1.7,4.8,3,0.0,0.286,14,0.286,4,0.214,3,1.0,3,17,0,6-7,71,-4.7,6.1,4,-0.1,12,0.8,bitumba-baruti-1,11,13,Guard,1.5,2,east-carolina,0.429,6,0.0,0,5.5,7,0.357,24.5,5,8,0.5,4,13.5,225,-0.1,-0.045,1,Bitumba Baruti
2019-20,6.1,21,2.9,16,-3.9,aac,0.5,14.0,82,0.7,0.385,156,0.346,54,0.128,20,0.75,15,31,5,6-7,675,-4.4,5.8,34,-0.5,86,5.1,bitumba-baruti-1,135,141,Guard,1.1,13,east-carolina,0.41,64,0.188,12,9.9,116,0.408,20.2,42,92,0.457,42,15.4,225,0.1,0.008,2,Bitumba Baruti
2018-19,12.8,34,2.8,13,5.6,atlantic-10,6.6,15.9,75,1.5,0.486,109,0.459,50,0.734,80,0.688,55,33,0,6-6,512,-1.0,7.6,34,0.4,66,15.6,vince-williams-2,161,171,Guard,3.8,34,virginia-commonwealth,0.229,25,0.24,6,11.9,109,0.548,24.6,48,84,0.524,44,19.1,210,1.9,0.151,1,Vince Williams
2019-20,11.2,21,2.7,8,2.7,atlantic-10,4.2,13.8,40,0.7,0.38,79,0.342,27,0.456,36,0.806,29,21,3,6-6,344,-1.6,5.8,18,0.0,45,11.2,vince-williams-2,89,98,Guard,3.5,21,virginia-commonwealth,0.38,30,0.2,6,9.7,58,0.463,21.9,27,49,0.429,21,18.1,210,0.8,0.089,2,Vince Williams
2019-20,11.6,4,0.0,0,-1.5,pac-12,0.3,13.5,8,0.0,0.545,11,0.455,5,0.455,5,0.4,2,20,0,6-6,72,-1.8,1.7,1,0.0,6,7.2,dimitrios-klonaras-1,14,14,Guard,0.8,1,california,0.364,4,0.5,2,7.7,9,0.523,23.0,4,7,0.429,3,13.1,215,0.1,0.033,1,Dimitrios Klonaras
2019-20,24.6,37,0.4,1,-3.1,cusa,-0.7,10.2,24,0.4,0.39,68,0.353,24,0.426,29,0.69,20,28,1,6-1,275,-2.5,3.2,8,0.2,20,11.3,dj-robertson-1,73,88,Guard,2.1,10,florida-atlantic,0.397,27,0.185,5,6.6,32,0.446,19.7,20,41,0.463,19,18.4,160,0.5,0.077,1,D.J. Robertson
2016-17,2.7,8,5.3,25,-3.8,ovc,0.0,13.1,60,0.5,0.487,113,0.487,55,0.761,86,0.581,50,33,4,6-8,520,-3.8,12.2,59,0.6,98,12.8,jalen-dupree-1,160,171,Forward,0.9,8,samford,0.0,0,,0,12.6,119,0.52,17.7,33,113,0.487,55,17.3,235,1.1,0.084,1,Jalen Dupree
2017-18,1.3,4,5.1,25,-0.2,ovc,0.6,15.2,72,1.0,0.56,100,0.56,56,0.88,88,0.659,58,30,17,6-8,522,-0.8,14.3,60,1.2,68,17.5,jalen-dupree-1,170,178,Forward,0.8,7,samford,0.0,0,,0,14.8,132,0.599,15.0,25,100,0.56,56,16.3,235,2.2,0.167,2,Jalen Dupree
2019-20,3.3,13,4.6,33,-2.5,southern,-2.4,20.4,157,0.5,0.535,260,0.512,133,0.412,107,0.822,88,33,33,6-8,808,-0.2,11.4,85,2.2,80,21.8,jalen-dupree-1,366,354,Forward,0.9,14,samford,0.115,30,0.4,12,16.0,242,0.589,12.9,46,230,0.526,121,20.7,235,2.7,0.134,3,Jalen Dupree
2017-18,10.0,2,0.0,0,-22.7,colonial,-3.6,3.9,1,0.0,0.0,11,0.0,0,0.0,0,,0,10,0,6-8,31,-19.1,4.3,1,-0.2,2,-16.8,jason-strong-1,0,2,Forward,0.0,0,northeastern,0.273,3,0.0,0,4.1,2,0.0,15.4,2,8,0.0,0,22.2,217,-0.2,-0.259,1,Jason Strong
2018-19,4.4,6,1.6,4,-5.3,colonial,-2.5,13.9,31,0.2,0.542,83,0.482,40,0.12,10,0.7,7,29,3,6-8,279,-2.8,5.6,12,0.2,26,12.2,jason-strong-1,97,88,Forward,0.6,3,northeastern,0.361,30,0.333,10,9.9,43,0.553,15.4,16,53,0.566,30,20.4,217,0.4,0.062,2,Jason Strong
2019-20,8.7,17,1.6,5,-2.7,colonial,-1.5,15.3,44,0.3,0.532,94,0.479,45,0.277,26,0.577,15,33,0,6-8,372,-1.2,5.8,16,0.7,34,14.0,jason-strong-1,115,114,Forward,0.7,4,northeastern,0.298,28,0.357,10,10.6,60,0.541,10.9,13,66,0.53,35,17.6,217,1.0,0.106,3,Jason Strong
2016-17,6.7,24,1.0,6,-2.9,southern,0.6,11.1,69,0.8,0.466,175,0.354,62,0.2,35,0.657,23,32,21,6-5,744,-3.4,5.2,37,0.0,69,9.0,onno-steger-1,186,178,Forward,2.6,33,western-carolina,0.56,98,0.398,39,7.9,106,0.485,19.4,46,77,0.299,23,15.7,205,0.8,0.041,1,Onno Steger
2017-18,7.1,9,1.5,3,-7.5,southern,-1.9,8.2,17,0.2,0.444,63,0.365,23,0.175,11,0.182,2,27,4,6-5,247,-5.6,3.0,7,-0.2,25,5.1,onno-steger-1,58,54,Forward,2.1,9,western-carolina,0.54,34,0.294,10,5.4,24,0.425,18.0,15,29,0.448,13,16.3,205,0.0,-0.006,2,Onno Steger
2018-19,13.8,65,0.6,5,-1.2,southern,-1.8,13.9,114,0.4,0.521,281,0.406,114,0.31,87,0.77,67,32,30,6-5,957,0.6,5.2,41,1.3,113,12.6,onno-steger-1,360,362,Forward,1.2,20,western-carolina,0.63,177,0.367,65,9.7,155,0.558,19.5,78,104,0.471,49,20.7,205,1.7,0.069,3,Onno Steger
2019-20,8.3,42,0.8,7,1.2,southern,-1.7,11.7,101,0.8,0.575,287,0.436,125,0.293,84,0.81,68,31,31,6-5,938,2.9,5.6,44,2.3,71,16.6,onno-steger-1,398,370,Forward,1.2,20,western-carolina,0.652,187,0.428,80,8.8,145,0.609,14.8,57,100,0.45,45,20.1,205,3.1,0.134,4,Onno Steger
2019-20,15.8,54,0.7,5,0.9,big-ten,1.2,14.8,98,0.6,0.468,219,0.397,87,0.219,48,0.5,24,28,15,6-3,688,-0.3,2.9,20,-0.1,54,11.1,jervay-green-1,229,226,Guard,2.0,25,nebraska,0.498,109,0.284,31,8.7,118,0.474,18.0,53,110,0.509,56,21.0,210,0.5,0.028,1,Jervay Green
2018-19,0.0,0,0.0,0,-47.2,big-12,-16.4,86.8,4,0.0,0.5,3,0.333,1,0.667,2,0.0,0,3,0,6-4,5,-30.8,24.3,1,-0.1,0,2.4,nate-schuster-1,3,3,Guard,0.0,0,iowa-state,0.333,1,1.0,1,57.3,5,0.38,33.6,2,2,0.0,0,61.3,187,0.0,-0.256,1,Nate Schuster
2019-20,0.0,0,0.0,0,1.4,big-12,-1.7,0.0,0,0.0,0.6,5,0.6,3,0.0,0,,0,7,0,6-4,10,3.1,0.0,0,0.0,0,28.1,nate-schuster-1,6,4,Guard,5.7,1,iowa-state,0.0,0,,0,0.0,0,0.6,0.0,0,5,0.6,3,24.8,187,0.0,0.147,2,Nate Schuster
2018-19,0.0,0,0.0,0,-14.5,mwc,-5.2,19.0,3,0.0,0.0,1,0.0,0,4.0,4,0.25,1,9,0,6-9,19,-9.3,19.2,3,0.0,2,1.6,isaac-monson-1,1,3,Forward,0.0,0,air-force,0.0,0,,0,19.1,6,0.172,25.6,1,1,0.0,0,10.9,205,0.0,-0.026,1,Isaac Monson
2019-20,9.0,3,2.3,1,-1.2,mwc,-1.2,26.4,13,0.0,0.688,8,0.625,5,1.0,8,0.875,7,12,0,6-9,61,0.0,8.0,4,0.1,6,15.8,isaac-monson-1,18,19,Forward,0.0,0,air-force,0.25,2,0.5,1,17.2,17,0.763,29.8,5,6,0.667,4,14.4,205,0.2,0.113,2,Isaac Monson
2019-20,13.8,21,0.0,0,-1.3,mvc,0.7,11.9,29,0.4,0.486,71,0.451,32,0.38,27,0.63,17,31,0,6-0,274,-2.0,1.9,4,0.2,23,12.1,antwan-kimmons-1,86,88,Guard,2.4,11,northern-iowa,0.268,19,0.263,5,7.2,33,0.513,20.8,22,52,0.519,27,20.4,185,0.6,0.091,1,Antwan Kimmons
2017-18,10.2,45,0.4,3,-3.3,ivy,-1.5,11.4,80,0.7,0.48,229,0.38,87,0.197,45,0.933,42,27,26,6-2,836,-1.7,1.3,10,0.4,78,9.4,zach-hunsaker-1,262,244,Guard,1.8,28,brown,0.576,132,0.348,46,6.1,90,0.523,17.5,53,97,0.423,41,17.3,185,1.1,0.052,1,Zach Hunsaker
2018-19,10.1,45,0.3,2,-1.1,ivy,0.4,7.6,57,1.4,0.497,156,0.385,60,0.295,46,0.826,38,32,21,6-2,807,-1.5,0.9,6,0.5,75,8.7,zach-hunsaker-1,193,189,Guard,2.3,33,brown,0.654,102,0.343,35,4.3,63,0.543,17.6,38,54,0.463,25,13.3,185,1.9,0.094,2,Zach Hunsaker
2019-20,8.7,35,0.4,3,0.1,ivy,-0.9,10.5,82,1.2,0.477,288,0.378,109,0.292,84,0.857,72,27,27,6-2,886,1.0,1.3,11,1.4,66,14.3,zach-hunsaker-1,347,309,Guard,2.6,41,brown,0.618,178,0.32,57,5.7,93,0.529,11.8,44,110,0.473,52,20.4,185,2.7,0.121,3,Zach Hunsaker
2018-19,10.4,6,0.0,0,-9.2,northeast,-4.0,6.9,6,0.1,0.435,23,0.348,8,0.0,0,,0,20,0,6-4,101,-5.2,3.8,3,-0.1,16,3.4,bassel-sablibajr-1,20,22,Guard,1.7,3,fairleigh-dickinson,0.435,10,0.4,4,5.4,9,0.435,23.3,7,13,0.308,4,15.3,190,0.0,0.007,1,Bassel Sabliba Jr.
2019-20,6.2,8,0.5,1,-7.6,northeast,-4.0,13.1,25,0.1,0.33,44,0.273,12,0.432,19,0.842,16,24,0,6-4,216,-3.7,8.8,16,0.1,24,7.6,bassel-sablibajr-1,45,54,Guard,1.3,5,fairleigh-dickinson,0.477,21,0.238,5,11.0,41,0.424,18.5,12,23,0.304,7,15.4,190,0.1,0.027,2,Bassel Sabliba Jr.
2019-20,4.5,2,1.6,1,0.7,big-east,2.5,16.8,11,0.1,0.375,8,0.375,3,0.5,4,1.0,4,16,0,6-10,76,-1.9,13.8,8,0.0,11,6.9,john-michael-mulloy-1,10,15,Forward,0.0,0,butler,0.0,0,,0,15.4,19,0.505,33.6,5,8,0.375,3,10.7,225,0.1,0.076,1,John-Michael Mulloy
2018-19,0.0,0,100.0,1,-0.7,patriot,37.3,0.0,0,0.0,0.0,1,0.0,0,0.0,0,,0,1,0,6-9,1,-38.0,0.0,0,0.0,0,0.0,chris-lovisolo-1,0,0,Forward,0.0,0,holy-cross,1.0,1,0.0,0,0.0,0,0.0,0.0,0,0,,0,56.0,228,0.0,-0.626,1,Chris Lovisolo
2019-20,0.0,0,0.0,0,-9.9,patriot,-3.4,0.0,0,0.0,,0,,0,,0,,0,1,0,6-9,1,-6.5,0.0,0,0.0,0,0.0,chris-lovisolo-1,0,0,Forward,0.0,0,holy-cross,,0,,0,0.0,0,,,0,0,,0,0.0,228,0.0,-0.037,2,Chris Lovisolo
2017-18,7.8,42,0.5,5,-0.7,mac,-0.8,12.2,118,1.5,0.507,413,0.414,171,0.317,131,0.733,96,34,33,6-4,1117,0.1,2.9,28,1.5,63,15.7,nike-sibande-1,515,460,Guard,2.0,39,miami-oh,0.533,220,0.35,77,7.6,146,0.542,13.2,72,193,0.487,94,25.0,183,3.0,0.107,1,Nike Sibande
2018-19,9.1,38,1.6,13,0.9,mac,-1.1,16.2,134,1.3,0.484,419,0.394,165,0.377,158,0.696,110,32,31,6-4,960,2.0,3.2,28,1.7,61,18.5,nike-sibande-1,516,464,Guard,1.6,27,miami-oh,0.551,231,0.329,76,9.5,162,0.522,11.5,64,188,0.473,89,29.2,183,3.0,0.125,2,Nike Sibande
2019-20,12.9,54,0.5,4,-1.0,mac,-0.9,18.7,149,1.0,0.49,334,0.44,147,0.383,128,0.82,105,31,30,6-4,891,-0.1,4.0,33,1.3,63,18.2,nike-sibande-1,432,411,Guard,1.7,26,miami-oh,0.308,103,0.32,33,11.3,182,0.547,17.9,86,231,0.494,114,27.3,183,2.4,0.107,3,Nike Sibande
2017-18,11.6,38,0.2,1,-1.9,ivy,-3.0,12.1,62,0.5,0.542,192,0.401,77,0.188,36,0.722,26,31,5,6-0,610,1.1,2.1,11,1.1,30,14.7,azar-swain-1,234,211,Guard,1.5,16,yale,0.719,138,0.391,54,7.1,73,0.56,8.3,19,54,0.426,23,19.0,185,1.6,0.106,1,Azar Swain
2018-19,9.2,33,0.3,2,-0.7,ivy,-2.4,13.4,78,0.7,0.573,185,0.427,79,0.168,31,0.774,24,30,1,6-0,596,1.6,1.6,8,0.8,49,13.1,azar-swain-1,236,209,Guard,0.9,10,yale,0.714,132,0.409,54,8.0,86,0.591,14.9,35,53,0.472,25,19.4,185,1.6,0.105,2,Azar Swain
2019-20,10.3,49,0.0,0,-0.2,ivy,-1.8,11.4,101,1.5,0.51,397,0.393,156,0.184,73,0.822,60,29,29,6-0,971,1.6,2.0,16,1.9,26,16.5,azar-swain-1,465,410,Guard,1.1,19,yale,0.605,240,0.388,93,7.0,117,0.539,10.8,52,157,0.401,63,25.9,185,3.4,0.14,3,Azar Swain
2015-16,7.3,15,3.2,13,-2.1,horizon,2.5,15.0,60,0.8,0.5,120,0.492,59,0.592,71,0.62,44,29,5,6-7,484,-4.5,7.3,31,0.0,64,13.8,jibri-blount-1,164,158,Forward,3.1,25,north-carolina-central,0.033,4,0.5,2,11.1,91,0.533,24.2,49,116,0.491,57,21.9,225,0.8,0.067,1,Jibri Blount
2016-17,7.2,16,1.3,5,-2.8,horizon,1.2,12.8,46,0.6,0.462,105,0.41,43,0.229,24,0.667,16,30,10,6-7,449,-4.0,5.0,21,0.0,55,9.4,jibri-blount-1,113,113,Forward,2.7,21,north-carolina-central,0.362,38,0.289,11,8.6,67,0.485,20.5,30,67,0.478,32,16.4,225,0.6,0.051,2,Jibri Blount
2018-19,15.3,38,2.1,10,-1.4,meac,-0.1,15.3,69,1.0,0.534,177,0.492,87,0.407,72,0.736,53,24,0,6-7,525,-1.3,8.5,37,0.7,46,18.4,jibri-blount-1,242,231,Forward,2.6,23,north-carolina-central,0.294,52,0.288,15,11.9,106,0.573,22.4,61,125,0.576,72,25.8,225,1.7,0.131,3,Jibri Blount
2019-20,10.1,51,1.9,18,1.6,meac,0.8,20.7,209,2.8,0.553,413,0.525,217,0.462,191,0.712,136,31,31,6-7,1141,0.8,8.3,78,3.0,86,24.5,jibri-blount-1,593,554,Forward,3.3,65,north-carolina-central,0.174,72,0.319,23,14.7,287,0.589,16.1,97,341,0.569,194,26.7,225,5.8,0.203,4,Jibri Blount
2018-19,3.4,7,2.4,9,-6.0,southland,-3.4,16.8,54,0.2,0.578,116,0.569,66,0.414,48,0.604,29,30,3,6-7,385,-2.6,9.5,35,0.7,62,16.2,benjamin-uloko-1,163,149,Forward,1.0,7,houston-baptist,0.017,2,1.0,2,12.9,89,0.587,15.3,25,114,0.561,64,19.2,265,0.9,0.099,1,Benjamin Uloko
2019-20,5.9,13,2.9,14,-6.4,southland,-4.7,14.7,57,-0.4,0.591,137,0.591,81,0.394,54,0.704,38,25,13,6-7,442,-1.7,10.1,42,0.7,59,16.2,benjamin-uloko-1,200,189,Forward,0.2,2,houston-baptist,0.0,0,,0,12.3,99,0.615,22.8,48,137,0.591,81,21.3,265,0.4,0.033,2,Benjamin Uloko
2018-19,2.9,7,8.0,33,3.3,wcc,2.9,15.1,60,0.5,0.659,91,0.648,59,0.429,39,0.513,20,30,8,6-9,441,0.4,8.4,32,0.9,57,17.5,gavin-baxter-1,140,133,Forward,0.6,5,brigham-young,0.066,6,0.333,2,11.8,92,0.639,11.3,14,85,0.671,57,14.0,210,1.4,0.131,1,Gavin Baxter
2019-20,7.1,3,6.6,4,2.7,wcc,5.4,11.0,6,0.1,0.5,8,0.5,4,0.25,2,0.5,1,7,1,6-9,63,-2.7,10.1,5,0.0,7,7.3,gavin-baxter-1,9,13,Forward,0.0,0,brigham-young,0.0,0,,0,10.6,11,0.503,35.8,5,8,0.5,4,11.6,210,0.1,0.063,2,Gavin Baxter
2018-19,6.7,26,3.4,26,2.5,big-ten,1.3,13.8,97,0.8,0.55,312,0.542,169,0.346,108,0.657,71,33,33,6-9,862,1.2,9.7,76,1.3,126,17.9,giorgi-bezhanishvili-1,414,385,Forward,1.4,22,illinois,0.096,30,0.167,5,11.7,173,0.57,17.7,78,282,0.582,164,25.2,235,2.1,0.098,1,Giorgi Bezhanishvili
2019-20,12.8,49,1.8,13,2.6,big-ten,2.9,14.3,92,1.0,0.457,196,0.429,84,0.265,52,0.596,31,31,24,6-9,718,-0.3,8.8,56,0.4,75,11.0,giorgi-bezhanishvili-1,210,226,Forward,0.2,3,illinois,0.184,36,0.306,11,11.6,148,0.476,20.5,57,160,0.456,73,19.3,235,1.4,0.078,2,Giorgi Bezhanishvili
2016-17,21.0,50,0.2,1,-0.4,mwc,0.4,8.4,36,0.7,0.521,97,0.392,38,0.247,24,0.542,13,34,1,5-11,433,-0.8,2.0,8,0.3,57,10.2,cody-kelley-1,114,127,Guard,2.7,22,south-dakota,0.67,65,0.385,25,5.3,44,0.526,21.1,29,32,0.406,13,15.5,190,0.9,0.087,1,Cody Kelley
2017-18,22.1,96,0.1,1,-0.5,mwc,0.4,9.5,66,0.9,0.503,146,0.39,57,0.267,39,0.641,25,33,23,5-11,767,-1.0,1.9,13,0.4,67,9.2,cody-kelley-1,172,208,Guard,2.0,29,south-dakota,0.644,94,0.351,33,5.8,79,0.523,23.7,51,52,0.462,24,13.8,190,1.3,0.066,2,Cody Kelley
2018-19,19.9,84,0.3,2,-0.8,summit,-0.8,12.2,81,0.7,0.513,197,0.396,78,0.239,47,0.851,40,26,25,5-11,827,0.0,1.5,10,1.1,71,12.7,cody-kelley-1,242,255,Guard,1.7,24,south-dakota,0.624,123,0.374,46,6.7,91,0.552,16.1,42,74,0.432,32,16.8,190,1.8,0.089,3,Cody Kelley
2019-20,10.1,60,0.0,0,2.1,summit,-1.2,12.5,108,0.8,0.613,239,0.477,114,0.297,71,0.803,57,32,32,5-11,1023,3.3,1.6,13,2.4,84,15.5,cody-kelley-1,350,331,Guard,1.9,35,south-dakota,0.598,143,0.455,65,7.3,121,0.642,12.8,40,96,0.51,49,15.8,190,3.2,0.124,4,Cody Kelley
2018-19,17.3,73,1.5,11,-0.7,big-east,1.5,10.0,71,1.0,0.438,217,0.387,84,0.341,74,0.689,51,34,34,6-5,840,-2.2,2.5,19,-0.1,85,8.3,david-duke-1,241,246,Guard,1.6,23,providence,0.341,74,0.297,22,6.1,90,0.478,22.2,72,143,0.434,62,19.2,200,0.9,0.041,1,David Duke
2019-20,19.6,97,1.3,11,6.2,big-east,3.3,12.4,106,1.7,0.483,286,0.409,117,0.423,121,0.793,96,31,31,6-5,997,2.9,2.4,23,1.8,90,16.2,david-duke-1,372,366,Guard,2.8,48,providence,0.35,100,0.42,42,7.1,129,0.542,16.5,68,186,0.403,75,19.9,200,3.5,0.142,2,David Duke
